"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "SCSS", "TypeScript React", "Markdown", "XML", "JavaScript React", "YAML", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\facebbok.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence\arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox light grey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesTrading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Asset Management.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Fintech As-A-Service.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Sales & Trading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Wealth Management.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ebonds blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\efunds blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\eintel blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ewealth blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Waves.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\WealthManagement.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\activepagination.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\app-store-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\close-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\downArrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\dropdown arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebonds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebondsblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efundsblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintelblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo-blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-text.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealthblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\facebook-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 1, 43
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\appstore.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\bloomberg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 1, 49
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 1, 43
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\footer-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 1, 46
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\playstore.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 1, 48
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\gradientbg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\linkedin-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 1, 48
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\logo-google-playstore-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG - Copy (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\pagination.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\topArrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\twitter-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 1, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\up arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\waves2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianItemComponent.tsx\AccordianItemComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 17, 8, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedContainer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 18, 8, 49
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\Points.tsx", "TypeScript React", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 10, 89
